Time,Height,Suction
2019-07-21 21:30:00,100.0,3459.77
2019-07-21 21:45:00,100.0,3459.77
2019-07-21 22:00:00,100.0,3489.72
2019-07-21 22:15:00,100.0,3503.0
2019-07-21 22:30:00,100.0,3503.0
2019-07-21 22:45:00,100.0,3503.0
2019-07-21 23:00:00,100.0,3485.81
2019-07-21 23:15:00,100.0,3485.81
2019-07-21 23:30:00,100.0,3461.02
2019-07-21 23:45:00,100.0,3461.02
2019-07-22 00:00:00,100.0,3461.02
2019-07-22 00:15:00,100.0,3432.07
2019-07-22 00:30:00,100.0,3430.45
2019-07-22 00:45:00,100.0,3419.65
2019-07-22 01:00:00,100.0,3410.06
2019-07-22 01:15:00,100.0,3397.27
2019-07-22 01:30:00,100.0,3384.36
2019-07-22 01:45:00,100.0,3368.57
2019-07-22 02:00:00,100.0,3365.82
2019-07-22 02:15:00,100.0,3365.82
2019-07-22 02:30:00,100.0,3344.57
2019-07-22 02:45:00,100.0,3340.79
2019-07-22 03:00:00,100.0,3338.26
2019-07-22 03:15:00,100.0,3330.84
2019-07-22 03:30:00,100.0,3330.84
2019-07-22 03:45:00,100.0,3324.57
2019-07-22 04:00:00,100.0,3302.85
2019-07-22 04:15:00,100.0,3279.76
2019-07-22 04:30:00,100.0,3279.76
2019-07-22 04:45:00,100.0,3272.64
2019-07-22 05:00:00,100.0,3263.8
2019-07-22 05:15:00,100.0,3246.92
2019-07-22 05:30:00,100.0,3235.17
2019-07-22 05:45:00,100.0,3233.38
2019-07-22 06:00:00,100.0,3213.38
2019-07-22 06:15:00,100.0,3209.4
2019-07-22 06:30:00,100.0,3207.75
2019-07-22 06:45:00,100.0,3207.75
2019-07-22 07:00:00,100.0,3206.26
2019-07-22 07:15:00,100.0,3194.04
2019-07-22 07:30:00,100.0,3186.64
2019-07-22 07:45:00,100.0,3186.64
2019-07-22 08:00:00,100.0,3159.18
2019-07-22 08:15:00,100.0,3155.42
2019-07-22 08:30:00,100.0,3148.76
2019-07-22 08:45:00,100.0,3137.46
2019-07-22 09:00:00,100.0,3133.72
2019-07-22 09:15:00,100.0,3132.05
2019-07-22 09:30:00,100.0,3130.82
2019-07-22 09:45:00,100.0,3130.82
2019-07-22 10:00:00,100.0,3126.07
2019-07-22 10:15:00,100.0,3126.07
2019-07-22 10:30:00,100.0,3123.32
2019-07-22 10:45:00,100.0,3117.5
2019-07-22 11:00:00,100.0,3110.82
2019-07-22 11:15:00,100.0,3097.85
2019-07-22 11:30:00,100.0,3096.24
2019-07-22 11:45:00,100.0,3097.85
2019-07-22 12:00:00,100.0,3094.41
2019-07-22 12:15:00,100.0,3092.09
2019-07-22 12:30:00,100.0,3091.7
2019-07-22 12:45:00,100.0,3091.7
2019-07-22 13:00:00,100.0,3083.22
2019-07-22 13:15:00,100.0,3079.18
2019-07-22 13:30:00,100.0,3076.79
2019-07-22 13:45:00,100.0,3074.3
2019-07-22 14:00:00,100.0,3069.98
2019-07-22 14:15:00,100.0,3047.93
2019-07-22 14:30:00,100.0,3043.68
2019-07-22 14:45:00,100.0,3028.33
2019-07-22 15:00:00,100.0,3028.33
2019-07-22 15:15:00,100.0,3024.51
2019-07-22 15:30:00,100.0,3018.96
2019-07-22 15:45:00,100.0,3014.55
2019-07-22 16:00:00,100.0,2993.12
2019-07-22 16:15:00,100.0,2988.32
2019-07-22 16:30:00,100.0,2972.07
2019-07-22 16:45:00,100.0,2966.24
2019-07-22 17:00:00,100.0,2961.12
2019-07-22 17:15:00,100.0,2931.2
2019-07-22 17:30:00,100.0,2925.89
2019-07-22 17:45:00,100.0,2924.67
2019-07-22 18:00:00,100.0,2924.67
2019-07-22 18:15:00,100.0,2880.24
2019-07-22 18:30:00,100.0,2874.98
2019-07-22 18:45:00,100.0,2853.29
2019-07-22 19:00:00,100.0,2853.29
2019-07-22 19:15:00,100.0,2850.0
2019-07-22 19:30:00,100.0,2853.29
2019-07-22 19:45:00,100.0,2853.29
2019-07-22 20:00:00,100.0,2851.56
2019-07-22 20:15:00,100.0,2837.08
2019-07-22 20:30:00,100.0,2817.88
2019-07-22 20:45:00,100.0,2817.88
2019-07-22 21:00:00,100.0,2842.15
2019-07-22 21:15:00,100.0,2836.24
2019-07-22 21:30:00,100.0,2842.15
2019-07-22 21:45:00,100.0,2848.22
2019-07-22 22:00:00,100.0,2842.15
2019-07-22 22:15:00,100.0,2842.48
2019-07-22 22:30:00,100.0,2842.48
2019-07-22 22:45:00,100.0,2842.48
2019-07-22 23:00:00,100.0,2842.48
2019-07-22 23:15:00,100.0,2842.48
2019-07-22 23:30:00,100.0,2843.35
2019-07-22 23:45:00,100.0,2843.35
2019-07-23 00:00:00,100.0,2838.32
2019-07-23 00:15:00,100.0,2830.73
2019-07-23 00:30:00,100.0,2822.77
2019-07-23 00:45:00,100.0,2821.92
2019-07-23 01:00:00,100.0,2821.92
2019-07-23 01:15:00,100.0,2821.92
2019-07-23 01:30:00,100.0,2820.43
2019-07-23 01:45:00,100.0,2819.49
2019-07-23 02:00:00,100.0,2819.49
2019-07-23 02:15:00,100.0,2819.49
2019-07-23 02:30:00,100.0,2817.25
2019-07-23 02:45:00,100.0,2831.51
2019-07-23 03:00:00,100.0,2831.51
2019-07-23 03:15:00,100.0,2828.06
2019-07-23 03:30:00,100.0,2824.35
2019-07-23 03:45:00,100.0,2827.99
2019-07-23 04:00:00,100.0,2824.35
2019-07-23 04:15:00,100.0,2824.35
2019-07-23 04:30:00,100.0,2809.41
2019-07-23 04:45:00,100.0,2809.41
2019-07-23 05:00:00,100.0,2780.87
2019-07-23 05:15:00,100.0,2776.42
2019-07-23 05:30:00,100.0,2779.1
2019-07-23 05:45:00,100.0,2779.1
2019-07-23 06:00:00,100.0,2777.76
2019-07-23 06:15:00,100.0,2777.76
2019-07-23 06:30:00,100.0,2777.76
2019-07-23 06:45:00,100.0,2775.46
2019-07-23 07:00:00,100.0,2773.35
2019-07-23 07:15:00,100.0,2771.03
2019-07-23 07:30:00,100.0,2763.98
2019-07-23 07:45:00,100.0,2767.3
2019-07-23 08:00:00,100.0,2767.3
2019-07-23 08:15:00,100.0,2758.45
2019-07-23 08:30:00,100.0,2748.62
2019-07-23 08:45:00,100.0,2758.45
2019-07-23 09:00:00,100.0,2755.87
2019-07-23 09:15:00,100.0,2755.87
2019-07-23 09:30:00,100.0,2744.64
2019-07-23 09:45:00,100.0,2722.18
2019-07-23 10:00:00,100.0,2718.49
2019-07-23 10:15:00,100.0,2717.1
2019-07-23 10:30:00,100.0,2712.0
2019-07-23 10:45:00,100.0,2704.57
2019-07-23 11:00:00,100.0,2703.26
