Time,Height,SoilTemp
2019-07-22 03:15:00,40.0,17.22
2019-07-22 03:30:00,40.0,17.27
2019-07-22 03:45:00,40.0,17.31
2019-07-22 04:00:00,40.0,17.35
2019-07-22 04:15:00,40.0,17.37
2019-07-22 04:30:00,40.0,17.41
2019-07-22 04:45:00,40.0,17.42
2019-07-22 05:00:00,40.0,17.44
2019-07-22 05:15:00,40.0,17.46
2019-07-22 05:30:00,40.0,17.49
2019-07-22 05:45:00,40.0,17.5
2019-07-22 06:00:00,40.0,17.52
2019-07-22 06:15:00,40.0,17.53
2019-07-22 06:30:00,40.0,17.54
2019-07-22 06:45:00,40.0,17.56
2019-07-22 07:00:00,40.0,17.57
2019-07-22 07:15:00,40.0,17.59
2019-07-22 07:30:00,40.0,17.62
2019-07-22 07:45:00,40.0,17.66
2019-07-22 08:00:00,40.0,17.71
2019-07-22 08:15:00,40.0,17.74
2019-07-22 08:30:00,40.0,17.77
2019-07-22 08:45:00,40.0,17.82
2019-07-22 09:00:00,40.0,17.86
2019-07-22 09:15:00,40.0,17.89
2019-07-22 09:30:00,40.0,17.93
2019-07-22 09:45:00,40.0,17.97
2019-07-22 10:00:00,40.0,18.02
2019-07-22 10:15:00,40.0,18.05
2019-07-22 10:30:00,40.0,18.11
2019-07-22 10:45:00,40.0,18.14
2019-07-22 11:00:00,40.0,18.18
2019-07-22 11:15:00,40.0,18.21
2019-07-22 11:30:00,40.0,18.25
2019-07-22 11:45:00,40.0,18.3
2019-07-22 12:00:00,40.0,18.43
2019-07-22 12:15:00,40.0,18.58
2019-07-22 12:30:00,40.0,18.73
2019-07-22 12:45:00,40.0,18.91
2019-07-22 13:00:00,40.0,19.1
2019-07-22 13:15:00,40.0,19.31
2019-07-22 13:30:00,40.0,19.51
2019-07-22 13:45:00,40.0,19.51
2019-07-22 14:00:00,40.0,19.44
2019-07-22 14:15:00,40.0,19.4
2019-07-22 14:30:00,40.0,19.48
2019-07-22 14:45:00,40.0,19.57
2019-07-22 15:00:00,40.0,19.63
2019-07-22 15:15:00,40.0,19.65
2019-07-22 15:30:00,40.0,19.69
2019-07-22 15:45:00,40.0,19.7
2019-07-22 16:00:00,40.0,19.68
2019-07-22 16:15:00,40.0,19.7
2019-07-22 16:30:00,40.0,19.73
2019-07-22 16:45:00,40.0,19.76
2019-07-22 17:00:00,40.0,19.76
2019-07-22 17:15:00,40.0,19.71
2019-07-22 17:30:00,40.0,19.68
2019-07-22 17:45:00,40.0,19.62
2019-07-22 18:00:00,40.0,19.56
2019-07-22 18:15:00,40.0,19.47
2019-07-22 18:30:00,40.0,19.4
2019-07-22 18:45:00,40.0,19.35
2019-07-22 19:00:00,40.0,19.3
2019-07-22 19:15:00,40.0,19.24
2019-07-22 19:30:00,40.0,19.16
2019-07-22 19:45:00,40.0,19.07
2019-07-22 20:00:00,40.0,18.98
2019-07-22 20:15:00,40.0,18.9
2019-07-22 20:30:00,40.0,18.83
2019-07-22 20:45:00,40.0,18.78
2019-07-22 21:00:00,40.0,18.72
2019-07-22 21:15:00,40.0,18.64
2019-07-22 21:30:00,40.0,18.58
2019-07-22 21:45:00,40.0,18.52
2019-07-22 22:00:00,40.0,18.45
2019-07-22 22:15:00,40.0,18.39
2019-07-22 22:30:00,40.0,18.35
2019-07-22 22:45:00,40.0,18.32
2019-07-22 23:00:00,40.0,18.29
2019-07-22 23:15:00,40.0,18.25
2019-07-22 23:30:00,40.0,18.23
2019-07-22 23:45:00,40.0,18.21
2019-07-23 00:00:00,40.0,18.17
2019-07-23 00:15:00,40.0,18.14
2019-07-23 00:30:00,40.0,18.11
2019-07-23 00:45:00,40.0,18.09
2019-07-23 01:00:00,40.0,18.08
2019-07-23 01:15:00,40.0,18.11
2019-07-23 01:30:00,40.0,18.13
2019-07-23 01:45:00,40.0,18.1
2019-07-23 02:00:00,40.0,18.05
2019-07-23 02:15:00,40.0,18.01
2019-07-23 02:30:00,40.0,17.99
2019-07-23 02:45:00,40.0,17.99
2019-07-23 03:00:00,40.0,17.96
2019-07-23 03:15:00,40.0,17.94
2019-07-23 03:30:00,40.0,17.93
2019-07-23 03:45:00,40.0,17.91
2019-07-23 04:00:00,40.0,17.87
2019-07-23 04:15:00,40.0,17.84
2019-07-23 04:30:00,40.0,17.84
2019-07-23 04:45:00,40.0,17.83
2019-07-23 05:00:00,40.0,17.79
2019-07-23 05:15:00,40.0,17.77
2019-07-23 05:30:00,40.0,17.77
2019-07-23 05:45:00,40.0,17.8
2019-07-23 06:00:00,40.0,17.83
2019-07-23 06:15:00,40.0,17.87
2019-07-23 06:30:00,40.0,17.89
2019-07-23 06:45:00,40.0,17.89
2019-07-23 07:00:00,40.0,17.88
2019-07-23 07:15:00,40.0,17.89
2019-07-23 07:30:00,40.0,17.9
2019-07-23 07:45:00,40.0,17.92
2019-07-23 08:00:00,40.0,17.94
2019-07-23 08:15:00,40.0,17.95
2019-07-23 08:30:00,40.0,17.97
2019-07-23 08:45:00,40.0,18.02
2019-07-23 09:00:00,40.0,18.08
2019-07-23 09:15:00,40.0,18.14
2019-07-23 09:30:00,40.0,18.23
2019-07-23 09:45:00,40.0,18.31
2019-07-23 10:00:00,40.0,18.37
2019-07-23 10:15:00,40.0,18.42
2019-07-23 10:30:00,40.0,18.47
2019-07-23 10:45:00,40.0,18.56
2019-07-23 11:00:00,40.0,18.68
2019-07-23 11:15:00,40.0,18.77
2019-07-23 11:30:00,40.0,18.84
2019-07-23 11:45:00,40.0,18.95
2019-07-23 12:00:00,40.0,19.3
2019-07-23 12:15:00,40.0,19.72
2019-07-23 12:30:00,40.0,20.05
2019-07-23 12:45:00,40.0,20.38
2019-07-23 13:00:00,40.0,20.7
2019-07-23 13:15:00,40.0,21.08
2019-07-23 13:30:00,40.0,21.44
2019-07-23 13:45:00,40.0,21.56
2019-07-23 14:00:00,40.0,21.7
2019-07-23 14:15:00,40.0,21.89
2019-07-23 14:30:00,40.0,21.97
2019-07-23 14:45:00,40.0,22.03
2019-07-23 15:00:00,40.0,22.11
2019-07-23 15:15:00,40.0,22.14
2019-07-23 15:30:00,40.0,22.16
2019-07-23 15:45:00,40.0,22.15
2019-07-23 16:00:00,40.0,22.1
